Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
2,149,627,638,634,0.026,1.702819531,2.415037499,1.722827722,772,253,1
2,155,766,780,772,0.032,1.607271088,0.893084796,1.668676732,387,263,1
2,156,212,225,220,0.03,1.548624155,0.819427754,1.652562134,499,267,1
2,157,464,476,473,0.028,1.524526151,2.146841388,1.6391352,427,268,1
2,161,656,669,667,0.03,1.512782235,0.807354922,1.615496731,486,272,1
2,162,834,848,843,0.032,1.492768575,0.777607579,1.616850311,527,273,1
2,163,632,644,638,0.028,1.473062525,2.887525271,1.60291237,773,274,1
2,166,872,887,880,0.034,1.502653571,2.736965594,1.594767647,649,277,1
2,173,147,163,156,0.036,1.877640283,1.847996907,1.715485269,814,295,1
2,177,604,616,608,0.028,1.847854814,1.415037499,1.688544705,391,301,1
2,178,135,148,142,0.03,1.828634573,1.321928095,1.685848318,344,302,1
2,179,917,928,921,0.026,1.753359335,1.099535674,1.652562134,403,307,1
2,182,92,104,98,0.028,1.721621863,2.044394119,1.630952012,884,310,1
2,182,381,393,389,0.028,1.721621863,2.044394119,1.630952012,884,310,1
2,182,659,672,668,0.03,1.721621863,2.044394119,1.630952012,884,310,1
2,182,987,998,995,0.026,1.721621863,2.044394119,1.630952012,884,310,1
2,184,187,212,195,0.054,1.710447377,1.074000581,1.594767647,638,317,1
2,184,608,623,613,0.034,1.710447377,1.074000581,1.594767647,638,317,1
2,184,683,708,690,0.054,1.710447377,1.074000581,1.594767647,638,317,1
2,184,889,900,898,0.026,1.710447377,1.074000581,1.594767647,638,317,1
2,185,413,425,421,0.028,1.67833476,2.222392421,1.576868843,703,319,1
2,195,206,218,210,0.028,1.614330835,1.115477217,1.758195534,392,330,1
2,195,790,803,799,0.03,1.614330835,1.115477217,1.758195534,392,330,1
2,197,694,706,704,0.028,1.530639062,1,1.722827722,415,333,1
2,199,252,263,258,0.026,1.462755226,0.847996907,1.715485269,433,335,1
2,199,456,470,467,0.032,1.462755226,0.847996907,1.715485269,433,335,1
2,199,489,500,493,0.026,1.462755226,0.847996907,1.715485269,433,335,1
2,199,554,585,573,0.066,1.462755226,0.847996907,1.715485269,433,335,1
2,203,480,494,481,0.032,1.379558855,1.652076697,1.685181791,309,339,1
2,212,761,773,763,0.028,1.403304545,1.788495895,1.599903985,456,355,1
