subI,norm_count,entropy,time
6,1.764705882,1.9,600
6,3.529411765,1.9,800
7,NaN,0.8,-1000
7,NaN,0.8,-800
7,NaN,0.8,-600
7,NaN,0.8,-400
7,NaN,0.8,-200
7,NaN,0.8,0
7,NaN,0.8,200
7,NaN,0.8,400
7,NaN,0.8,600
7,NaN,0.8,800
7,0,0.9,-1000
7,0,0.9,-800
7,0,0.9,-600
7,0,0.9,-400
7,0.666666667,0.9,-200
7,0,0.9,0
7,0,0.9,200
7,0,0.9,400
7,0,0.9,600
7,0.666666667,0.9,800
7,8.666666667,1,-1000
7,4.333333333,1,-800
7,8.666666667,1,-600
7,10.83333333,1,-400
7,4.333333333,1,-200
7,2.166666667,1,0
7,0,1,200
7,0,1,400
7,8.666666667,1,600
7,8.666666667,1,800
7,2.375,1.1,-1000
7,4.75,1.1,-800
7,1.1875,1.1,-600
7,5.9375,1.1,-400
7,0,1.1,-200
7,3.5625,1.1,0
7,1.1875,1.1,200
7,0,1.1,400
7,3.5625,1.1,600
7,0,1.1,800
7,0,1.2,-1000
7,1.25,1.2,-800
7,0,1.2,-600
7,1.25,1.2,-400
7,0,1.2,-200
7,2.5,1.2,0
7,1.25,1.2,200
7,0,1.2,400
7,0,1.2,600
7,0,1.2,800
7,3,1.3,-1000
7,0,1.3,-800
7,0,1.3,-600
7,0,1.3,-400
7,3,1.3,-200
7,1.5,1.3,0
7,0,1.3,200
7,0,1.3,400
7,1.5,1.3,600
7,0,1.3,800
7,0,1.4,-1000
7,1.47826087,1.4,-800
7,1.47826087,1.4,-600
7,2.217391304,1.4,-400
7,0.739130435,1.4,-200
7,3.695652174,1.4,0
7,0.739130435,1.4,200
7,1.47826087,1.4,400
7,0,1.4,600
7,0.739130435,1.4,800
7,3.87755102,1.5,-1000
7,1.551020408,1.5,-800
7,1.551020408,1.5,-600
7,4.653061224,1.5,-400
7,3.102040816,1.5,-200
7,3.87755102,1.5,0
7,1.551020408,1.5,200
7,2.326530612,1.5,400
7,3.87755102,1.5,600
7,3.102040816,1.5,800
7,3.673469388,1.6,-1000
7,2.755102041,1.6,-800
7,1.836734694,1.6,-600
7,1.836734694,1.6,-400
